loan_to_income_ratio,loan_to_income_band
0.12,Moderate Ratio
0.14,Moderate Ratio
35.71,High Ratio
0.12,Moderate Ratio
0.24,Moderate Ratio
0.1,Moderate Ratio
0.15,Moderate Ratio
0.03,Low Ratio
0.12,Moderate Ratio
0.14,Moderate Ratio
0.16,Moderate Ratio
230.77,High Ratio
0.47,High Ratio
0.19,Moderate Ratio
0.2,Moderate Ratio
0.09,Low Ratio
0.13,Moderate Ratio
232.56,High Ratio
0.21,Moderate Ratio
0.09,Low Ratio
0.15,Moderate Ratio
0.26,Moderate Ratio
0.22,Moderate Ratio
0.13,Moderate Ratio
0.05,Low Ratio
76.92,High Ratio
0.13,Moderate Ratio
0.19,Moderate Ratio
0.17,Moderate Ratio
0.23,Moderate Ratio
0.1,Moderate Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
142.86,High Ratio
0.07,Low Ratio
0.32,High Ratio
0.12,Moderate Ratio
0.14,Moderate Ratio
188.24,High Ratio
0.17,Moderate Ratio
0.05,Low Ratio
172.41,High Ratio
0.05,Low Ratio
200.0,High Ratio
0.02,Low Ratio
0.06,Low Ratio
0.1,Moderate Ratio
0.15,Moderate Ratio
0.04,Low Ratio
0.12,Moderate Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.13,Moderate Ratio
0.09,Low Ratio
0.25,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
0.15,Moderate Ratio
0.15,Moderate Ratio
0.05,Low Ratio
0.14,Moderate Ratio
0.16,Moderate Ratio
0.23,Moderate Ratio
116.67,High Ratio
0.08,Low Ratio
0.11,Moderate Ratio
333.33,High Ratio
0.25,Moderate Ratio
0.15,Moderate Ratio
0.21,Moderate Ratio
145.45,High Ratio
0.25,Moderate Ratio
0.3,High Ratio
0.18,Moderate Ratio
0.08,Low Ratio
0.12,Moderate Ratio
0.17,Moderate Ratio
0.22,Moderate Ratio
50.0,High Ratio
0.06,Low Ratio
0.1,Moderate Ratio
0.06,Low Ratio
0.18,Moderate Ratio
200.0,High Ratio
0.23,Moderate Ratio
0.08,Low Ratio
0.1,Low Ratio
0.15,Moderate Ratio
0.04,Low Ratio
0.03,Low Ratio
0.08,Low Ratio
0.35,High Ratio
0.22,Moderate Ratio
0.21,Moderate Ratio
345.09,High Ratio
0.13,Moderate Ratio
0.12,Moderate Ratio
0.07,Low Ratio
349.93,High Ratio
0.27,Moderate Ratio
270.3,High Ratio
0.13,Moderate Ratio
0.05,Low Ratio
208.0,High Ratio
0.33,High Ratio
0.25,Moderate Ratio
0.11,Moderate Ratio
0.07,Low Ratio
0.23,Moderate Ratio
0.12,Moderate Ratio
337.08,High Ratio
0.2,Moderate Ratio
0.14,Moderate Ratio
0.13,Moderate Ratio
0.2,Moderate Ratio
0.13,Moderate Ratio
0.11,Moderate Ratio
0.05,Low Ratio
0.38,High Ratio
0.1,Low Ratio
0.12,Moderate Ratio
0.04,Low Ratio
0.19,Moderate Ratio
0.08,Low Ratio
0.27,Moderate Ratio
0.11,Moderate Ratio
0.12,Moderate Ratio
0.07,Low Ratio
0.42,High Ratio
0.34,High Ratio
0.21,Moderate Ratio
0.1,Moderate Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.28,Moderate Ratio
147.08,High Ratio
50.0,High Ratio
0.2,Moderate Ratio
90.67,High Ratio
0.17,Moderate Ratio
0.07,Low Ratio
0.11,Moderate Ratio
0.19,Moderate Ratio
0.2,Moderate Ratio
52.08,High Ratio
0.03,Low Ratio
0.05,Low Ratio
0.07,Low Ratio
0.1,Moderate Ratio
0.13,Moderate Ratio
0.19,Moderate Ratio
0.11,Moderate Ratio
0.16,Moderate Ratio
0.37,High Ratio
0.15,Moderate Ratio
0.13,Moderate Ratio
0.1,Moderate Ratio
0.1,Moderate Ratio
0.25,Moderate Ratio
0.3,High Ratio
0.05,Low Ratio
0.06,Low Ratio
0.07,Low Ratio
250.0,High Ratio
0.27,Moderate Ratio
0.17,Moderate Ratio
0.25,Moderate Ratio
0.05,Low Ratio
0.06,Low Ratio
0.13,Moderate Ratio
0.16,Moderate Ratio
0.18,Moderate Ratio
0.15,Moderate Ratio
0.17,Moderate Ratio
0.29,Moderate Ratio
110.53,High Ratio
0.1,Low Ratio
0.34,High Ratio
0.17,Moderate Ratio
0.07,Low Ratio
0.06,Low Ratio
0.12,Moderate Ratio
0.26,Moderate Ratio
0.24,Moderate Ratio
0.22,Moderate Ratio
260.89,High Ratio
80.0,High Ratio
0.12,Moderate Ratio
0.09,Low Ratio
0.06,Low Ratio
0.23,Moderate Ratio
0.48,High Ratio
0.22,Moderate Ratio
333.33,High Ratio
0.15,Moderate Ratio
0.11,Moderate Ratio
0.14,Moderate Ratio
0.26,Moderate Ratio
83.33,High Ratio
0.08,Low Ratio
0.13,Moderate Ratio
0.13,Moderate Ratio
0.08,Low Ratio
0.1,Low Ratio
0.2,Moderate Ratio
0.06,Low Ratio
0.35,High Ratio
0.35,High Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
0.03,Low Ratio
0.38,High Ratio
0.12,Moderate Ratio
0.08,Low Ratio
43.24,High Ratio
0.29,Moderate Ratio
0.29,Moderate Ratio
0.29,Moderate Ratio
0.14,Moderate Ratio
0.13,Moderate Ratio
0.12,Moderate Ratio
0.33,High Ratio
0.08,Low Ratio
0.12,Moderate Ratio
0.43,High Ratio
0.2,Moderate Ratio
0.1,Moderate Ratio
0.3,Moderate Ratio
0.12,Moderate Ratio
0.07,Low Ratio
0.1,Moderate Ratio
0.16,Moderate Ratio
0.07,Low Ratio
0.2,Moderate Ratio
308.33,High Ratio
0.22,Moderate Ratio
0.05,Low Ratio
0.27,Moderate Ratio
0.25,Moderate Ratio
0.14,Moderate Ratio
0.04,Low Ratio
0.06,Low Ratio
0.31,High Ratio
0.03,Low Ratio
270.83,High Ratio
0.05,Low Ratio
0.16,Moderate Ratio
0.23,Moderate Ratio
0.15,Moderate Ratio
0.2,Moderate Ratio
0.06,Low Ratio
0.16,Moderate Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.07,Low Ratio
0.11,Moderate Ratio
0.09,Low Ratio
0.12,Moderate Ratio
166.67,High Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.4,High Ratio
0.13,Moderate Ratio
0.14,Moderate Ratio
0.12,Moderate Ratio
0.11,Moderate Ratio
0.05,Low Ratio
0.06,Low Ratio
0.17,Moderate Ratio
0.06,Low Ratio
0.2,Moderate Ratio
218.18,High Ratio
0.05,Low Ratio
0.14,Moderate Ratio
327.27,High Ratio
89.4,High Ratio
0.23,Moderate Ratio
0.13,Moderate Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.19,Moderate Ratio
0.1,Moderate Ratio
0.21,Moderate Ratio
0.05,Low Ratio
157.23,High Ratio
0.44,High Ratio
0.25,Moderate Ratio
0.17,Moderate Ratio
0.06,Low Ratio
0.15,Moderate Ratio
0.15,Moderate Ratio
0.1,Moderate Ratio
0.11,Moderate Ratio
70.0,High Ratio
0.07,Low Ratio
0.16,Moderate Ratio
0.12,Moderate Ratio
0.09,Low Ratio
0.34,High Ratio
0.06,Low Ratio
333.33,High Ratio
0.05,Low Ratio
0.07,Low Ratio
0.09,Low Ratio
0.13,Moderate Ratio
0.05,Low Ratio
354.17,High Ratio
0.29,Moderate Ratio
0.3,Moderate Ratio
272.75,High Ratio
0.28,Moderate Ratio
0.25,Moderate Ratio
0.1,Moderate Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.31,High Ratio
0.19,Moderate Ratio
0.29,Moderate Ratio
0.03,Low Ratio
0.09,Low Ratio
0.07,Low Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.25,Moderate Ratio
0.1,Moderate Ratio
0.23,Moderate Ratio
0.07,Low Ratio
0.09,Low Ratio
0.09,Low Ratio
0.11,Moderate Ratio
0.1,Moderate Ratio
0.33,High Ratio
0.33,High Ratio
0.33,High Ratio
0.11,Moderate Ratio
0.3,Moderate Ratio
125.0,High Ratio
0.12,Moderate Ratio
0.27,Moderate Ratio
0.12,Moderate Ratio
0.11,Moderate Ratio
0.04,Low Ratio
0.08,Low Ratio
0.06,Low Ratio
0.13,Moderate Ratio
0.06,Low Ratio
0.23,Moderate Ratio
0.09,Low Ratio
0.08,Low Ratio
0.2,Moderate Ratio
0.26,Moderate Ratio
0.06,Low Ratio
0.13,Moderate Ratio
100.0,High Ratio
0.28,Moderate Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.04,Low Ratio
0.07,Low Ratio
61.22,High Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.3,Moderate Ratio
0.1,Moderate Ratio
0.1,Low Ratio
0.3,High Ratio
0.22,Moderate Ratio
0.28,Moderate Ratio
0.13,Moderate Ratio
0.17,Moderate Ratio
0.25,Moderate Ratio
0.23,Moderate Ratio
0.32,High Ratio
0.15,Moderate Ratio
62.5,High Ratio
0.2,Moderate Ratio
0.33,High Ratio
0.21,Moderate Ratio
0.03,Low Ratio
0.1,Moderate Ratio
0.06,Low Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.15,Moderate Ratio
0.22,Moderate Ratio
0.05,Low Ratio
0.17,Moderate Ratio
0.14,Moderate Ratio
0.11,Moderate Ratio
0.02,Low Ratio
0.08,Low Ratio
0.06,Low Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.05,Low Ratio
0.11,Moderate Ratio
0.18,Moderate Ratio
0.26,Moderate Ratio
0.08,Low Ratio
0.33,High Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.05,Low Ratio
0.08,Low Ratio
0.17,Moderate Ratio
0.35,High Ratio
0.07,Low Ratio
0.11,Moderate Ratio
0.1,Low Ratio
0.09,Low Ratio
0.23,Moderate Ratio
0.04,Low Ratio
0.2,Moderate Ratio
0.1,Moderate Ratio
0.22,Moderate Ratio
0.08,Low Ratio
0.24,Moderate Ratio
0.16,Moderate Ratio
0.25,Moderate Ratio
0.16,Moderate Ratio
0.2,Moderate Ratio
0.27,Moderate Ratio
0.12,Moderate Ratio
0.33,High Ratio
0.04,Low Ratio
0.31,High Ratio
0.03,Low Ratio
0.1,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.23,Moderate Ratio
0.26,Moderate Ratio
0.13,Moderate Ratio
0.09,Low Ratio
0.07,Low Ratio
0.01,Low Ratio
373.57,High Ratio
0.05,Low Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.04,Low Ratio
0.15,Moderate Ratio
0.1,Low Ratio
0.08,Low Ratio
0.24,Moderate Ratio
196.08,High Ratio
0.13,Moderate Ratio
0.04,Low Ratio
0.07,Low Ratio
0.16,Moderate Ratio
0.19,Moderate Ratio
0.04,Low Ratio
0.33,High Ratio
0.17,Moderate Ratio
0.08,Low Ratio
0.11,Moderate Ratio
0.43,High Ratio
0.27,Moderate Ratio
0.25,Moderate Ratio
0.28,Moderate Ratio
0.13,Moderate Ratio
0.13,Moderate Ratio
0.26,Moderate Ratio
0.25,Moderate Ratio
0.17,Moderate Ratio
0.27,Moderate Ratio
0.07,Low Ratio
0.04,Low Ratio
0.21,Moderate Ratio
0.36,High Ratio
183.33,High Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.38,High Ratio
0.07,Low Ratio
0.25,Moderate Ratio
0.25,Moderate Ratio
0.34,High Ratio
0.37,High Ratio
0.25,Moderate Ratio
0.25,Moderate Ratio
0.16,Moderate Ratio
0.06,Low Ratio
0.22,Moderate Ratio
0.06,Low Ratio
0.24,Moderate Ratio
0.1,Moderate Ratio
0.17,Moderate Ratio
0.04,Low Ratio
0.32,High Ratio
0.11,Moderate Ratio
0.06,Low Ratio
0.04,Low Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
0.08,Low Ratio
0.05,Low Ratio
0.11,Moderate Ratio
0.15,Moderate Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
0.05,Low Ratio
0.16,Moderate Ratio
0.11,Moderate Ratio
0.11,Moderate Ratio
0.03,Low Ratio
41.67,High Ratio
0.13,Moderate Ratio
0.18,Moderate Ratio
0.25,Moderate Ratio
0.15,Moderate Ratio
0.09,Low Ratio
0.16,Moderate Ratio
0.1,Low Ratio
0.11,Moderate Ratio
0.14,Moderate Ratio
0.18,Moderate Ratio
0.1,Moderate Ratio
0.18,Moderate Ratio
0.1,Low Ratio
0.16,Moderate Ratio
0.13,Moderate Ratio
0.24,Moderate Ratio
0.07,Low Ratio
0.12,Moderate Ratio
0.07,Low Ratio
40.0,High Ratio
0.3,Moderate Ratio
192.0,High Ratio
0.12,Moderate Ratio
0.23,Moderate Ratio
0.1,Moderate Ratio
0.1,Low Ratio
0.06,Low Ratio
260.0,High Ratio
0.41,High Ratio
0.1,Moderate Ratio
0.21,Moderate Ratio
0.1,Moderate Ratio
0.1,Moderate Ratio
0.22,Moderate Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
0.15,Moderate Ratio
0.2,Moderate Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.18,Moderate Ratio
0.11,Moderate Ratio
0.05,Low Ratio
0.44,High Ratio
0.2,Moderate Ratio
38.46,High Ratio
53.57,High Ratio
0.13,Moderate Ratio
0.08,Low Ratio
0.2,Moderate Ratio
0.29,Moderate Ratio
0.19,Moderate Ratio
0.2,Moderate Ratio
0.17,Moderate Ratio
0.29,Moderate Ratio
120.0,High Ratio
0.12,Moderate Ratio
250.0,High Ratio
0.18,Moderate Ratio
0.36,High Ratio
0.29,Moderate Ratio
0.16,Moderate Ratio
0.25,Moderate Ratio
0.34,High Ratio
0.05,Low Ratio
0.15,Moderate Ratio
0.15,Moderate Ratio
0.22,Moderate Ratio
0.1,Moderate Ratio
0.34,High Ratio
0.13,Moderate Ratio
0.08,Low Ratio
0.29,Moderate Ratio
0.14,Moderate Ratio
0.08,Low Ratio
0.4,High Ratio
0.22,Moderate Ratio
0.11,Moderate Ratio
400.0,High Ratio
0.14,Moderate Ratio
0.22,Moderate Ratio
0.15,Moderate Ratio
0.09,Low Ratio
0.27,Moderate Ratio
0.32,High Ratio
0.06,Low Ratio
0.05,Low Ratio
0.04,Low Ratio
0.06,Low Ratio
0.05,Low Ratio
0.06,Low Ratio
0.07,Low Ratio
0.16,Moderate Ratio
0.17,Moderate Ratio
214.29,High Ratio
0.12,Moderate Ratio
0.21,Moderate Ratio
0.06,Low Ratio
0.14,Moderate Ratio
0.21,Moderate Ratio
0.2,Moderate Ratio
0.16,Moderate Ratio
0.16,Moderate Ratio
0.31,High Ratio
113.64,High Ratio
0.08,Low Ratio
250.0,High Ratio
0.23,Moderate Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
0.09,Low Ratio
0.08,Low Ratio
0.05,Low Ratio
272.7,High Ratio
0.3,High Ratio
0.24,Moderate Ratio
0.21,Moderate Ratio
0.24,Moderate Ratio
0.2,Moderate Ratio
228.57,High Ratio
0.04,Low Ratio
166.67,High Ratio
0.12,Moderate Ratio
0.11,Moderate Ratio
0.05,Low Ratio
0.13,Moderate Ratio
0.18,Moderate Ratio
214.29,High Ratio
0.12,Moderate Ratio
0.1,Low Ratio
0.08,Low Ratio
0.2,Moderate Ratio
0.05,Low Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
0.17,Moderate Ratio
0.03,Low Ratio
0.4,High Ratio
0.14,Moderate Ratio
0.11,Moderate Ratio
0.28,Moderate Ratio
