id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,corrupted_loan_intent,person_home_ownership_person_age,normalized_emp_length,emp_length_category
35221,24,50000,RENT,5.0,HOMEIMPROVEMENT,B,10000,9.91,0.2,N,4,0,corrupted_HOMEIMPROVEMENT,RENT_24,0.12195121951219512,Mid-level
35222,25,225000,RENT,4.0,VENTURE,B,2500000,11.83,0.11,N,2,0,corrupted_VENTURE,RENT_25,0.0975609756097561,Mid-level
35223,24,36000,RENT,1.0,VENTURE,A,6000,8.9,0.17,N,3,0,corrupted_VENTURE,RENT_24,0.024390243902439025,Junior
35224,30,38000,RENT,5.0,VENTURE,A,5000,8.0,0.13,N,9,0,corrupted_VENTURE,RENT_30,0.12195121951219512,Mid-level
35225,22,55000,RENT,-6.0538522800445005,EDUCATION,C,400000,14.27,0.07,N,4,0,corrupted_EDUCATION,RENT_22,-0.14765493365962196,Junior
35226,22,70000,RENT,7.0,PERSONAL,A,200000,5.79,0.03,N,3,0,corrupted_PERSONAL,RENT_22,0.17073170731707318,Senior
35227,28,78000,RENT,12.0,MEDICAL,A,9600,8.94,0.12,N,9,0,corrupted_MEDICAL,RENT_28,0.2926829268292683,Senior
35228,47,52000,RENT,11.0,HOMEIMPROVEMENT,A,780000,9.07,0.15,N,14,0,corrupted_HOMEIMPROVEMENT,RENT_47,0.2682926829268293,Senior
35229,24,70000,RENT,6.0,VENTURE,B,16000,11.49,0.23,N,3,0,corrupted_VENTURE,RENT_24,0.14634146341463414,Senior
35230,27,65000,RENT,3.0,VENTURE,B,4500,12.42,0.07,N,10,0,corrupted_VENTURE,RENT_27,0.07317073170731707,Mid-level
35231,24,65000,RENT,8.0,MEDICAL,missing,12000,5.79,0.18,N,2,0,corrupted_MEDICAL,RENT_24,0.1951219512195122,Senior
35232,29,74196,RENT,0.0,VENTURE,B,4000,11.26,0.05,N,7,0,corrupted_VENTURE,RENT_29,0.0,Junior
35233,25,33195,RENT,8.0,EDUCATION,B,6000,10.0,0.18,N,3,0,corrupted_EDUCATION,RENT_25,0.1951219512195122,Senior
35234,25,65000,RENT,2.8485541913300763,DEBTCONSOLIDATION,A,600000,7.51,0.09,N,2,0,corrupted_DEBTCONSOLIDATION,RENT_25,0.06947693149585552,Mid-level
35235,36,78000,RENT,4.0,PERSONAL,A,14000,7.49,0.18,N,13,0,corrupted_PERSONAL,RENT_36,0.0975609756097561,Mid-level
35236,23,39000,RENT,1.0,VENTURE,E,1000,17.14,0.03,N,3,1,corrupted_VENTURE,RENT_23,0.024390243902439025,Junior
35237,24,120000,RENT,8.0,EDUCATION,missing,700000,5.42,0.06,N,2,0,corrupted_EDUCATION,RENT_24,0.1951219512195122,Senior
35238,23,50000,RENT,3.6040489307208143,DEBTCONSOLIDATION,C,400000,14.26,0.08,N,2,0,corrupted_DEBTCONSOLIDATION,RENT_23,0.08790363245660522,Mid-level
35239,22,42000,RENT,3.0,DEBTCONSOLIDATION,A,4000,7.9,0.1,N,4,0,corrupted_DEBTCONSOLIDATION,RENT_22,0.07317073170731707,Mid-level
35240,31,60000,RENT,0.0,HOMEIMPROVEMENT,missing,510000,12.53,0.09,N,5,0,corrupted_HOMEIMPROVEMENT,RENT_31,0.0,Junior
35241,32,36000,RENT,1.0,HOMEIMPROVEMENT,D,460000,16.0,0.13,N,10,1,corrupted_HOMEIMPROVEMENT,RENT_32,0.024390243902439025,Junior
35242,23,54996,RENT,2.0,VENTURE,E,2000000,12.53,0.36,N,3,1,corrupted_VENTURE,RENT_23,0.04878048780487805,Mid-level
35243,30,91228,RENT,3.0,MEDICAL,B,12000,11.89,0.13,N,9,0,corrupted_MEDICAL,RENT_30,0.07317073170731707,Mid-level
35244,26,24000,RENT,0.0,EDUCATION,A,200000,7.37,0.08,N,4,0,corrupted_EDUCATION,RENT_26,0.0,Junior
35245,36,49000,RENT,3.0,DEBTCONSOLIDATION,B,16000,10.37,0.33,N,14,1,corrupted_DEBTCONSOLIDATION,RENT_36,0.07317073170731707,Mid-level
35246,24,44000,RENT,6.0,VENTURE,A,1700,6.76,0.04,N,4,0,corrupted_VENTURE,RENT_24,0.14634146341463414,Senior
35247,25,72000,RENT,9.0,EDUCATION,D,9000,16.29,0.13,N,3,0,corrupted_EDUCATION,RENT_25,0.21951219512195122,Senior
35248,29,60000,RENT,4.0,DEBTCONSOLIDATION,C,6000,12.87,0.1,N,7,0,corrupted_DEBTCONSOLIDATION,RENT_29,0.0975609756097561,Mid-level
35249,54,200000,RENT,5.0,PERSONAL,A,10000,6.91,0.05,N,20,0,corrupted_PERSONAL,RENT_54,0.12195121951219512,Mid-level
35250,38,65000,RENT,1.0,EDUCATION,B,950000,10.0,0.15,N,14,0,corrupted_EDUCATION,RENT_38,0.024390243902439025,Junior
35251,22,48000,RENT,2.0,EDUCATION,B,15000,10.25,0.31,N,3,0,corrupted_EDUCATION,RENT_22,0.04878048780487805,Mid-level
35252,25,62500,RENT,3.0,DEBTCONSOLIDATION,C,12000,12.73,0.19,N,4,0,corrupted_DEBTCONSOLIDATION,RENT_25,0.07317073170731707,Mid-level
35253,30,96000,RENT,6.0,HOMEIMPROVEMENT,B,10000,9.88,0.1,N,10,0,corrupted_HOMEIMPROVEMENT,RENT_30,0.14634146341463414,Senior
35254,24,70000,RENT,8.0,EDUCATION,B,25000,9.62,0.36,N,3,0,corrupted_EDUCATION,RENT_24,0.1951219512195122,Senior
35255,40,100000,RENT,0.0,MEDICAL,A,5000,7.75,0.05,N,17,0,corrupted_MEDICAL,RENT_40,0.0,Junior
35256,26,55000,RENT,7.000647668759262,VENTURE,B,1150000,11.89,0.21,N,4,0,corrupted_VENTURE,RENT_26,0.17074750411607956,Senior
35257,22,55000,RENT,6.0,PERSONAL,C,15000,13.16,0.27,N,4,0,corrupted_PERSONAL,RENT_22,0.14634146341463414,Senior
35258,22,64000,RENT,6.0,VENTURE,C,800000,12.23,0.13,N,2,0,corrupted_VENTURE,RENT_22,0.14634146341463414,Senior
35259,29,60000,RENT,0.0,MEDICAL,A,4500,7.66,0.07,N,7,0,corrupted_MEDICAL,RENT_29,0.0,Junior
35260,34,54000,RENT,5.0,MEDICAL,B,400000,11.71,0.07,N,8,0,corrupted_MEDICAL,RENT_34,0.12195121951219512,Mid-level
35261,22,50000,RENT,1.0,EDUCATION,C,15000,13.22,0.3,N,3,0,corrupted_EDUCATION,RENT_22,0.024390243902439025,Junior
35262,29,31200,RENT,-6.627571888731421,PERSONAL,A,1120000,8.49,0.36,N,9,0,corrupted_PERSONAL,RENT_29,-0.16164809484710782,Junior
35263,22,55000,RENT,4.0,VENTURE,B,10750,11.58,0.2,N,4,0,corrupted_VENTURE,RENT_22,0.0975609756097561,Mid-level
35264,29,72000,RENT,7.68389411276655,VENTURE,A,6000,5.42,0.08,N,5,0,corrupted_VENTURE,RENT_29,0.18741205153089147,Senior
35265,27,100000,RENT,3.0,PERSONAL,C,15000,14.65,0.15,N,9,0,corrupted_PERSONAL,RENT_27,0.07317073170731707,Mid-level
35266,22,43580,RENT,2.0,EDUCATION,E,600000,17.39,0.14,N,3,1,corrupted_EDUCATION,RENT_22,0.04878048780487805,Mid-level
35267,24,50000,RENT,9.6720931933355,VENTURE,B,17000,9.88,0.34,N,4,0,corrupted_VENTURE,RENT_24,0.23590471203257318,Senior
35268,23,42000,RENT,6.0,EDUCATION,B,900000,9.83,0.21,N,3,0,corrupted_EDUCATION,RENT_23,0.14634146341463414,Senior
35269,43,85000,RENT,7.0,HOMEIMPROVEMENT,C,12000,11.34,0.14,N,17,0,corrupted_HOMEIMPROVEMENT,RENT_43,0.17073170731707318,Senior
35270,38,54996,RENT,23.61073203323281,VENTURE,B,5000,9.91,0.09,N,15,0,corrupted_VENTURE,RENT_38,0.5758715130056783,Senior
35271,23,52000,RENT,7.0,VENTURE,missing,450000,7.88,0.09,N,3,0,corrupted_VENTURE,RENT_23,0.17073170731707318,Senior
35272,28,50000,RENT,0.0,EDUCATION,C,1050000,13.49,0.21,N,9,0,corrupted_EDUCATION,RENT_28,0.0,Junior
35273,31,34000,RENT,4.0,PERSONAL,A,2400,7.66,0.07,N,9,1,corrupted_PERSONAL,RENT_31,0.0975609756097561,Mid-level
35274,24,54000,RENT,5.0,EDUCATION,A,500000,8.9,0.09,N,3,0,corrupted_EDUCATION,RENT_24,0.12195121951219512,Mid-level
35275,33,84000,RENT,3.0,DEBTCONSOLIDATION,A,600000,7.14,0.07,N,10,0,corrupted_DEBTCONSOLIDATION,RENT_33,0.07317073170731707,Mid-level
35276,25,31500,RENT,6.0,VENTURE,C,10000,13.48,0.32,N,3,1,corrupted_VENTURE,RENT_25,0.14634146341463414,Senior
35277,24,42000,RENT,-0.5176755348815769,PERSONAL,A,3250,7.29,0.08,N,3,0,corrupted_PERSONAL,RENT_24,-0.012626232558087242,Junior
35278,28,120000,RENT,0.0,MEDICAL,A,15000,7.88,0.13,N,8,0,corrupted_MEDICAL,RENT_28,0.0,Junior
35279,37,80000,RENT,21.0,VENTURE,C,600000,13.47,0.07,N,11,0,corrupted_VENTURE,RENT_37,0.5121951219512195,Senior
35280,29,48000,RENT,7.81624264345406,VENTURE,B,5000,10.74,0.1,N,10,0,corrupted_VENTURE,RENT_29,0.19064006447448925,Senior
35281,22,60000,RENT,18.051024536587448,PERSONAL,C,5000,13.11,0.08,N,2,0,corrupted_PERSONAL,RENT_22,0.4402688911362792,Senior
35282,22,50000,RENT,4.277646553465404,PERSONAL,missing,10000,10.99,0.2,N,4,0,corrupted_PERSONAL,RENT_22,0.10433284276744888,Mid-level
35283,23,57600,RENT,7.0,DEBTCONSOLIDATION,A,800000,6.03,0.14,N,3,0,corrupted_DEBTCONSOLIDATION,RENT_23,0.17073170731707318,Senior
35284,30,54990,RENT,0.0,EDUCATION,B,2400,10.38,0.04,N,10,0,corrupted_EDUCATION,RENT_30,0.0,Junior
35285,36,72000,RENT,6.0,EDUCATION,B,24000,10.99,0.33,N,17,1,corrupted_EDUCATION,RENT_36,0.14634146341463414,Senior
35286,21,56000,RENT,5.0,EDUCATION,B,9000,11.49,0.16,N,4,0,corrupted_EDUCATION,RENT_21,0.12195121951219512,Mid-level
35287,23,99600,RENT,-7.402528995582056,DEBTCONSOLIDATION,B,500000,11.86,0.05,N,3,0,corrupted_DEBTCONSOLIDATION,RENT_23,-0.1805494876971233,Junior
35288,28,50000,RENT,4.0,PERSONAL,C,3000,13.61,0.06,N,6,0,corrupted_PERSONAL,RENT_28,0.0975609756097561,Mid-level
35289,32,57992,RENT,5.0,HOMEIMPROVEMENT,A,10000,8.59,0.17,N,6,0,corrupted_HOMEIMPROVEMENT,RENT_32,0.12195121951219512,Mid-level
35290,24,55000,RENT,8.0,EDUCATION,A,4200,5.99,0.08,N,2,0,corrupted_EDUCATION,RENT_24,0.1951219512195122,Senior
35291,55,49000,RENT,0.0,VENTURE,C,300000,14.22,0.06,N,21,0,corrupted_VENTURE,RENT_55,0.0,Junior
35292,27,37290,RENT,9.0,PERSONAL,B,600000,12.42,0.16,N,10,0,corrupted_PERSONAL,RENT_27,0.21951219512195122,Senior
35293,29,40000,RENT,4.0,DEBTCONSOLIDATION,B,2400,11.99,0.06,N,5,0,corrupted_DEBTCONSOLIDATION,RENT_29,0.0975609756097561,Mid-level
35294,26,70000,RENT,10.0,HOMEIMPROVEMENT,A,12000,7.51,0.17,N,2,0,corrupted_HOMEIMPROVEMENT,RENT_26,0.24390243902439024,Senior
35295,22,31200,RENT,0.0,PERSONAL,B,480000,10.37,0.15,N,2,0,corrupted_PERSONAL,RENT_22,0.0,Junior
35296,22,50000,RENT,7.0,MEDICAL,B,500000,10.36,0.1,N,4,0,corrupted_MEDICAL,RENT_22,0.17073170731707318,Senior
35297,30,70000,RENT,18.680759717504372,EDUCATION,C,16000,14.65,0.23,N,7,0,corrupted_EDUCATION,RENT_30,0.4556282857927896,Senior
35298,25,50000,RENT,-4.196007985328646,EDUCATION,C,15000,14.26,0.3,N,3,0,corrupted_EDUCATION,RENT_25,-0.10234165817874746,Junior
35299,39,29000,RENT,4.0,EDUCATION,C,10000,13.43,0.34,N,17,1,corrupted_EDUCATION,RENT_39,0.0975609756097561,Mid-level
35300,24,30000,RENT,0.0,MEDICAL,B,230000,11.49,0.08,N,4,0,corrupted_MEDICAL,RENT_24,0.0,Junior
35301,28,30000,RENT,2.0,VENTURE,missing,500000,9.25,0.17,N,6,0,corrupted_VENTURE,RENT_28,0.04878048780487805,Mid-level
35302,22,32000,RENT,5.0,VENTURE,C,2000,13.49,0.06,N,2,0,corrupted_VENTURE,RENT_22,0.12195121951219512,Mid-level
35303,29,60000,RENT,13.0,MEDICAL,B,1500000,11.86,0.25,N,9,0,corrupted_MEDICAL,RENT_29,0.3170731707317073,Senior
35304,33,50000,RENT,3.0,VENTURE,missing,1600,10.0,0.04,N,8,0,corrupted_VENTURE,RENT_33,0.07317073170731707,Mid-level
35305,46,100000,RENT,16.0,PERSONAL,B,18000,9.99,0.18,N,17,0,corrupted_PERSONAL,RENT_46,0.3902439024390244,Senior
35306,26,57772,RENT,2.0,VENTURE,missing,12000,11.89,0.21,N,4,0,corrupted_VENTURE,RENT_26,0.04878048780487805,Mid-level
35307,23,50000,RENT,0.0,EDUCATION,missing,2500,11.71,0.05,N,4,0,corrupted_EDUCATION,RENT_23,0.0,Junior
35308,38,50000,RENT,3.72091584138976,DEBTCONSOLIDATION,C,1500000,13.22,0.3,N,15,0,corrupted_DEBTCONSOLIDATION,RENT_38,0.09075404491194536,Mid-level
35309,22,70000,RENT,4.0,EDUCATION,C,4000,12.68,0.06,N,4,0,corrupted_EDUCATION,RENT_22,0.0975609756097561,Mid-level
35310,32,110000,RENT,-2.243739167671656,PERSONAL,B,1500000,10.0,0.14,N,5,0,corrupted_PERSONAL,RENT_32,-0.054725345552967215,Junior
35311,33,54000,RENT,-2.2190050926505185,MEDICAL,A,1230000,7.29,0.22,N,6,0,corrupted_MEDICAL,RENT_33,-0.05412207543050045,Junior
35312,23,24600,RENT,5.13869960902773,EDUCATION,C,2000,13.61,0.08,N,4,0,corrupted_EDUCATION,RENT_23,0.12533413680555439,Senior
35313,24,53000,RENT,8.0,MEDICAL,A,12000,7.49,0.23,N,2,0,corrupted_MEDICAL,RENT_24,0.1951219512195122,Senior
35314,22,45000,RENT,1.0,VENTURE,B,400000,12.53,0.09,N,2,0,corrupted_VENTURE,RENT_22,0.024390243902439025,Junior
35315,25,60000,RENT,2.0,HOMEIMPROVEMENT,A,8000,7.88,0.13,N,2,0,corrupted_HOMEIMPROVEMENT,RENT_25,0.04878048780487805,Mid-level
35316,24,100000,RENT,0.0,EDUCATION,A,15000,7.88,0.15,N,3,0,corrupted_EDUCATION,RENT_24,0.0,Junior
35317,25,46000,RENT,1.0,MEDICAL,C,12500,10.28,0.28,N,2,0,corrupted_MEDICAL,RENT_25,0.024390243902439025,Junior
35318,22,48000,RENT,1.0,EDUCATION,B,14000,9.63,0.29,N,3,0,corrupted_EDUCATION,RENT_22,0.024390243902439025,Junior
35319,29,95000,RENT,4.0,HOMEIMPROVEMENT,C,10000,12.53,0.11,N,8,0,corrupted_HOMEIMPROVEMENT,RENT_29,0.0975609756097561,Mid-level
35320,26,54000,RENT,0.0,VENTURE,A,5000,5.42,0.09,N,3,0,corrupted_VENTURE,RENT_26,0.0,Junior
35321,29,100000,RENT,4.0,EDUCATION,B,6000,11.49,0.06,N,7,0,corrupted_EDUCATION,RENT_29,0.0975609756097561,Mid-level
35322,24,325000,RENT,8.0,HOMEIMPROVEMENT,B,10000,12.53,0.03,N,2,0,corrupted_HOMEIMPROVEMENT,RENT_24,0.1951219512195122,Senior
35323,33,72000,RENT,5.0,EDUCATION,A,4500,8.49,0.06,N,8,0,corrupted_EDUCATION,RENT_33,0.12195121951219512,Mid-level
35324,27,60000,RENT,0.0,VENTURE,C,15000,12.84,0.25,N,9,1,corrupted_VENTURE,RENT_27,0.0,Junior
35325,31,48000,RENT,7.0,PERSONAL,A,3500,7.49,0.07,N,7,0,corrupted_PERSONAL,RENT_31,0.17073170731707318,Senior
35326,28,70000,RENT,5.0,PERSONAL,missing,14000,12.68,0.2,N,10,0,corrupted_PERSONAL,RENT_28,0.12195121951219512,Mid-level
35327,45,28320,RENT,10.466576015136571,VENTURE,D,9600,14.11,0.34,N,14,1,corrupted_VENTURE,RENT_45,0.2552823418325993,Senior
35328,22,28500,RENT,3.0,EDUCATION,D,160000,14.84,0.06,N,4,0,corrupted_EDUCATION,RENT_22,0.07317073170731707,Mid-level
35329,31,30000,RENT,1.0,DEBTCONSOLIDATION,B,7500,10.99,0.25,N,5,0,corrupted_DEBTCONSOLIDATION,RENT_31,0.024390243902439025,Junior
35330,24,48000,RENT,-9.49450625434259,VENTURE,C,7500,13.79,0.16,N,2,0,corrupted_VENTURE,RENT_24,-0.23157332327664856,Junior
35331,26,42000,RENT,3.0,VENTURE,B,500000,10.99,0.12,N,2,0,corrupted_VENTURE,RENT_26,0.07317073170731707,Mid-level
35332,23,32000,RENT,5.0,MEDICAL,B,5500,10.38,0.17,N,2,0,corrupted_MEDICAL,RENT_23,0.12195121951219512,Mid-level
35333,24,66300,RENT,4.0,PERSONAL,D,7000,15.28,0.09,N,3,0,corrupted_PERSONAL,RENT_24,0.0975609756097561,Mid-level
35334,28,100000,RENT,12.0,DEBTCONSOLIDATION,C,1500000,13.85,0.15,N,10,0,corrupted_DEBTCONSOLIDATION,RENT_28,0.2926829268292683,Senior
35335,23,60000,RENT,0.0,EDUCATION,B,7800,10.59,0.13,N,4,0,corrupted_EDUCATION,RENT_23,0.0,Junior
35336,25,48000,RENT,9.0,PERSONAL,A,4000,8.49,0.08,N,3,0,corrupted_PERSONAL,RENT_25,0.21951219512195122,Senior
35337,23,40000,RENT,3.0,VENTURE,C,1200000,13.35,0.3,N,4,0,corrupted_VENTURE,RENT_23,0.07317073170731707,Mid-level
35338,25,70000,RENT,5.0,PERSONAL,B,6000,11.71,0.09,N,2,0,corrupted_PERSONAL,RENT_25,0.12195121951219512,Mid-level
35339,30,65000,RENT,7.0,PERSONAL,A,10000,7.9,0.15,N,10,0,corrupted_PERSONAL,RENT_30,0.17073170731707318,Senior
35340,22,30000,RENT,2.0,PERSONAL,B,1000000,11.71,0.33,N,2,1,corrupted_PERSONAL,RENT_22,0.04878048780487805,Mid-level
35341,28,65000,RENT,2.2539049035011516,MEDICAL,C,16000,13.22,0.25,N,5,0,corrupted_MEDICAL,RENT_28,0.05497329032929638,Mid-level
35342,26,110000,RENT,1.5955276646625682,MEDICAL,C,350000,14.65,0.03,N,3,0,corrupted_MEDICAL,RENT_26,0.03891530889420898,Junior
35343,33,93500,RENT,4.0,EDUCATION,A,1800000,6.62,0.2,N,5,0,corrupted_EDUCATION,RENT_33,0.0975609756097561,Mid-level
35344,23,77000,RENT,7.0,DEBTCONSOLIDATION,missing,25000,10.99,0.32,N,3,0,corrupted_DEBTCONSOLIDATION,RENT_23,0.17073170731707318,Senior
35345,46,69743,RENT,14.0,PERSONAL,B,6000,11.36,0.09,N,14,0,corrupted_PERSONAL,RENT_46,0.34146341463414637,Senior
35346,28,55200,RENT,12.0,EDUCATION,A,4000,6.03,0.07,N,10,0,corrupted_EDUCATION,RENT_28,0.2926829268292683,Senior
35347,24,60000,RENT,5.0,EDUCATION,A,10000,7.9,0.17,N,2,0,corrupted_EDUCATION,RENT_24,0.12195121951219512,Mid-level
35348,28,65000,RENT,7.0,PERSONAL,A,12000,7.51,0.18,N,10,0,corrupted_PERSONAL,RENT_28,0.17073170731707318,Senior
35349,28,61000,RENT,12.0,DEBTCONSOLIDATION,A,7500,7.29,0.12,N,8,0,corrupted_DEBTCONSOLIDATION,RENT_28,0.2926829268292683,Senior
35350,31,88000,RENT,4.0,MEDICAL,A,6000,7.14,0.07,N,7,0,corrupted_MEDICAL,RENT_31,0.0975609756097561,Mid-level
35351,23,60000,RENT,7.0,VENTURE,A,3000,6.62,0.05,N,4,0,corrupted_VENTURE,RENT_23,0.17073170731707318,Senior
35352,26,54000,RENT,2.0,MEDICAL,D,10000,16.77,0.22,N,4,1,corrupted_MEDICAL,RENT_26,0.04878048780487805,Mid-level
35353,30,90000,RENT,3.0,MEDICAL,B,10000,11.49,0.11,N,9,0,corrupted_MEDICAL,RENT_30,0.07317073170731707,Mid-level
35354,23,75000,RENT,0.0,MEDICAL,C,12000,13.23,0.16,N,3,0,corrupted_MEDICAL,RENT_23,0.0,Junior
35355,22,64800,RENT,12.287038539223168,MEDICAL,C,9600,11.59,0.14,N,3,0,corrupted_MEDICAL,RENT_22,0.29968386681032116,Senior
35356,27,72000,RENT,3.0,PERSONAL,B,1200000,10.59,0.17,N,9,0,corrupted_PERSONAL,RENT_27,0.07317073170731707,Mid-level
35357,22,90000,RENT,-0.13832045050819985,EDUCATION,A,7200,7.88,0.08,N,2,0,corrupted_EDUCATION,RENT_22,-0.0033736695245902403,Junior
35358,24,65000,RENT,4.0,MEDICAL,A,4000,7.51,0.06,N,3,0,corrupted_MEDICAL,RENT_24,0.0975609756097561,Mid-level
35359,22,52000,RENT,2.0,DEBTCONSOLIDATION,A,2500,7.88,0.05,N,4,0,corrupted_DEBTCONSOLIDATION,RENT_22,0.04878048780487805,Mid-level
35360,29,61455,RENT,4.0,MEDICAL,C,3000,15.23,0.04,N,9,1,corrupted_MEDICAL,RENT_29,0.0975609756097561,Mid-level
35361,32,29000,RENT,4.0,HOMEIMPROVEMENT,B,7000,11.99,0.24,N,10,1,corrupted_HOMEIMPROVEMENT,RENT_32,0.0975609756097561,Mid-level
35362,23,40000,RENT,0.0,DEBTCONSOLIDATION,B,4000,10.74,0.1,N,3,0,corrupted_DEBTCONSOLIDATION,RENT_23,0.0,Junior
35363,23,96000,RENT,7.0,EDUCATION,B,35000,10.65,0.36,N,3,0,corrupted_EDUCATION,RENT_23,0.17073170731707318,Senior
35364,29,78402,RENT,1.0,VENTURE,missing,12500,13.98,0.18,N,9,0,corrupted_VENTURE,RENT_29,0.024390243902439025,Junior
